timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002060987,1519.00,1484.42
1630002061003,1546.81,1521.43
1630002061020,1622.21,1521.43
1630002061037,1422.29,1521.43
1630002061053,1638.28,1521.43
1630002061070,1255.29,1521.43
1630002061087,1633.95,1532.90
1630002061103,1588.06,1567.43
1630002061120,1450.37,1532.90
1630002061137,1431.32,1532.90
1630002061153,1587.59,1567.20
1630002061170,1608.80,1587.82
1630002061187,1542.25,1564.92
1630002061203,1423.64,1564.92
1630002061224,1185.43,1496.31
1630002061237,1808.37,1564.92
1630002061255,1533.25,1537.75
1630002061270,1589.65,1537.75
1630002061287,1428.92,1537.75
1630002061303,1411.60,1537.75
1630002061320,1456.57,1494.91
1630002061337,1467.33,1461.95
1630002061353,1564.19,1461.95
1630002061370,1308.29,1461.95
1630002061387,1330.48,1461.95
1630002061403,1701.13,1461.95
1630002061420,1387.48,1442.75
1630002061437,1575.14,1442.75
1630002061453,1367.59,1434.09
1630002061470,1368.50,1422.02
1630002061487,1515.86,1427.40
1630002061503,1546.66,1451.67
1630002061520,1443.31,1415.39
1630002061537,1314.11,1415.39
1630002061553,1662.14,1479.59
1630002061570,1512.47,1477.89
1630002061587,1386.22,1477.89
1630002061604,1489.45,1466.38
1630002061620,1499.56,1494.50
1630002061637,1574.72,1506.01
1630002061654,1338.52,1494.50
1630002061670,1534.95,1494.50
1630002061687,1557.12,1506.01
1630002061703,1388.97,1506.01
1630002061720,1566.62,1506.01
1630002061737,1400.23,1494.50
1630002061753,1558.44,1517.26
1630002061770,1415.75,1517.26
1630002061787,1433.54,1484.25
1630002061803,1693.48,1484.25
1630002061820,1365.35,1484.25
1630002061837,1453.34,1443.44
1630002061853,1521.92,1443.44
1630002061870,1498.14,1475.74
1630002061887,1577.54,1475.74
1630002061903,1467.08,1482.61
1630002061920,1366.98,1460.21
1630002061937,1434.33,1460.21
1630002061954,1506.66,1482.61
1630002061970,1642.57,1482.61
1630002061987,1457.40,1482.61
